"","dow","hour","nbrhood","count"
"176",0,1,"SanLIT",21
"177",0,1,"SanLNC",15
"178",0,1,"SanLOG",56
"179",0,1,"SanLOM",5
"180",0,1,"SanMAR",77
"181",0,1,"SanMDT",15
"182",0,1,"SanMIA",22
"183",0,1,"SanMIR",69
"184",0,1,"SanMIS",27
"185",0,1,"SanMON",36
"186",0,1,"SanMOR",28
"187",0,1,"SanMRM",5
"188",0,1,"SanMSB",1
"189",0,1,"SanMSH",57
"190",0,1,"SanMST",16
"191",0,1,"SanMTO",18
"192",0,1,"SanNES",19
"193",0,1,"SanNOA",20
"194",0,1,"SanNOR",7
"195",0,1,"SanNRM",24
"196",0,1,"SanNRT",175
"197",0,1,"SanNUV",54
"198",0,1,"SanOCN",115
"199",0,1,"SanOEC",10
"200",0,1,"SanOKP",35
"201",0,1,"SanOOL",4
"202",0,1,"SanOTM",8
"203",0,1,"SanPAL",4
"204",0,1,"SanPAR",16
"205",0,1,"SanPCF",466
"206",0,1,"SanPET",6
"207",0,1,"SanPON",45
"208",0,1,"SanPRK",13
"209",0,1,"SanRAN",19
"210",0,1,"SanRED",19
"211",0,1,"SanRID",14
"212",0,1,"SanRNC",31
"213",0,1,"SanROL",44
"214",0,1,"SanROS",27
"215",0,1,"SanSAB",5
"216",0,1,"SanSCR",18
"217",0,1,"SanSER",30
"218",0,1,"SanSHE",16
"219",0,1,"SanSHR",6
"220",0,1,"SanSKL",21
"221",0,1,"SanSNC",6
"222",0,1,"SanSNS",48
"223",0,1,"SanSOR",12
"224",0,1,"SanSOU",37
"225",0,1,"SanSSI",38
"226",0,1,"SanSTH",23
"227",0,1,"SanSTO",14
"228",0,1,"SanSUN",8
"229",0,1,"SanSWA",12
"230",0,1,"SanTAL",23
"231",0,1,"SanTER",12
"232",0,1,"SanTIJ",1
"233",0,1,"SanTIR",25
"234",0,1,"SanTOM",38
"235",0,1,"SanTOR",2
"236",0,1,"SanTRL",20
"237",0,1,"SanTRR",2
"238",0,1,"SanTRV",2
"239",0,1,"SanUIN",39
"240",0,1,"SanVAL",39
"241",0,1,"SanWOD",1
"242",0,2,"NONE",3802
"243",0,2,"SanADM",10
"244",0,2,"SanALL",15
"245",0,2,"SanALT",2
"246",0,2,"SanAZL",10
"247",0,2,"SanBAH",15
"248",0,2,"SanBAL",4
"249",0,2,"SanBAP",25
"250",0,2,"SanBAR",33
"251",0,2,"SanBAT",24
"252",0,2,"SanBIR",5
"253",0,2,"SanBLA",1
"254",0,2,"SanBOR",17
"255",0,2,"SanBUR",1
"256",0,2,"SanCAE",13
"257",0,2,"SanCAL",50
"258",0,2,"SanCAR",25
"259",0,2,"SanCAS",18
"260",0,2,"SanCHE",22
"261",0,2,"SanCHL",10
"262",0,2,"SanCHO",8
"263",0,2,"SanCLL",46
"264",0,2,"SanCLN",31
"265",0,2,"SanCLR",19
"266",0,2,"SanCOE",41
"267",0,2,"SanCOR",153
"268",0,2,"SanCRR",25
"269",0,2,"SanCRT",39
"270",0,2,"SanDLC",10
"271",0,2,"SanDLM",5
"272",0,2,"SanEAN",18
"273",0,2,"SanEAS",140
"274",0,2,"SanEGG",10
"275",0,2,"SanELC",15
"276",0,2,"SanEMR",6
"277",0,2,"SanFAI",6
"278",0,2,"SanFOX",1
"279",0,2,"SanFRM",14
"280",0,2,"SanGAS",265
"281",0,2,"SanGOL",34
"282",0,2,"SanGRA",44
"283",0,2,"SanGRN",11
"284",0,2,"SanHAR",5
"285",0,2,"SanHIL",91
"286",0,2,"SanHOR",17
"287",0,2,"SanIDW",63
"288",0,2,"SanISS",17
"289",0,2,"SanJAM",6
"290",0,2,"SanKEN",15
"291",0,2,"SanKER",36
"292",0,2,"SanLAJ",56
"293",0,2,"SanLAK",16
"294",0,2,"SanLAP",7
"295",0,2,"SanLIN",34
"296",0,2,"SanLIT",13
"297",0,2,"SanLNC",21
"298",0,2,"SanLOG",47
"299",0,2,"SanLOM",7
"300",0,2,"SanMAR",73
"301",0,2,"SanMDT",19
"302",0,2,"SanMIA",17
"303",0,2,"SanMIR",61
"304",0,2,"SanMIS",24
"305",0,2,"SanMON",25
"306",0,2,"SanMOR",14
"307",0,2,"SanMRM",4
"308",0,2,"SanMSH",49
"309",0,2,"SanMST",17
"310",0,2,"SanMTO",13
"311",0,2,"SanNES",22
"312",0,2,"SanNOA",18
"313",0,2,"SanNOR",5
"314",0,2,"SanNRM",24
"315",0,2,"SanNRT",144
"316",0,2,"SanNUV",35
"317",0,2,"SanOCN",89
"318",0,2,"SanOEC",13
"319",0,2,"SanOKP",28
"320",0,2,"SanOOL",4
"321",0,2,"SanOTM",8
"322",0,2,"SanPAL",4
"323",0,2,"SanPAR",10
"324",0,2,"SanPCF",393
"325",0,2,"SanPET",4
"326",0,2,"SanPON",27
"327",0,2,"SanPRK",17
"328",0,2,"SanRAN",28
"329",0,2,"SanRED",12
"330",0,2,"SanRID",20
"331",0,2,"SanRNC",28
"332",0,2,"SanROL",40
"333",0,2,"SanROS",22
"334",0,2,"SanSAB",2
"335",0,2,"SanSCR",7
"336",0,2,"SanSER",38
"337",0,2,"SanSHE",6
"338",0,2,"SanSHR",10
"339",0,2,"SanSKL",8
"340",0,2,"SanSNC",11
