"","year","council","count","pop","per_capita","per_houndredthousand"
"1",2007,"San001",6018,147305,0.0408540103866128,4085.40103866128
"2",2007,"San002",16518,142456,0.115951592070534,11595.1592070534
"3",2007,"San003",18448,147116,0.12539764539547,12539.764539547
"4",2007,"San004",6659,142911,0.0465954335215624,4659.54335215624
"5",2007,"San005",3917,143957,0.0272095139520829,2720.95139520829
"6",2007,"San006",6931,140738,0.0492475379783712,4924.75379783712
"7",2007,"San007",9648,147442,0.065435900218391,6543.5900218391
"8",2007,"San008",10084,144830,0.0696264586066423,6962.64586066423
"9",2007,"San009",11061,145045,0.0762590920059292,7625.90920059292
"10",2008,"San001",5735,147305,0.0389328264485252,3893.28264485252
"11",2008,"San002",14739,142456,0.103463525579828,10346.3525579828
"12",2008,"San003",18085,147116,0.122930204736398,12293.0204736398
"13",2008,"San004",6511,142911,0.0455598239463722,4555.98239463722
"14",2008,"San005",3706,143957,0.025743798495384,2574.3798495384
"15",2008,"San006",7066,140738,0.0502067671844136,5020.67671844136
"16",2008,"San007",9585,147442,0.0650086135565171,6500.86135565171
"17",2008,"San008",9249,144830,0.0638610785058344,6386.10785058344
"18",2008,"San009",10645,145045,0.073391016581061,7339.1016581061
"19",2009,"San001",5023,147305,0.0340993177420997,3409.93177420997
"20",2009,"San002",13403,142456,0.0940851912169372,9408.51912169372
"21",2009,"San003",17159,147116,0.11663585198075,11663.585198075
"22",2009,"San004",6073,142911,0.0424949793927689,4249.49793927689
"23",2009,"San005",3130,143957,0.0217426036941587,2174.26036941587
"24",2009,"San006",5502,140738,0.0390939191973738,3909.39191973738
"25",2009,"San007",7723,147442,0.0523799188833575,5237.99188833575
"26",2009,"San008",7930,144830,0.0547538493406062,5475.38493406062
"27",2009,"San009",9872,145045,0.0680616360439864,6806.16360439863
"28",2010,"San001",4623,147305,0.0313838634126472,3138.38634126472
"29",2010,"San002",12531,142456,0.0879640029201999,8796.40029201999
"30",2010,"San003",16861,147116,0.114610239538867,11461.0239538867
"31",2010,"San004",6017,142911,0.0421031271210754,4210.31271210754
"32",2010,"San005",2938,143957,0.0204088720937502,2040.88720937502
"33",2010,"San006",5520,140738,0.0392218164248462,3922.18164248462
"34",2010,"San007",7377,147442,0.0500332334070346,5003.32334070346
"35",2010,"San008",7719,144830,0.0532969688600428,5329.69688600428
"36",2010,"San009",8821,145045,0.0608156089489469,6081.56089489469
"37",2011,"San001",4340,147305,0.0294626794745596,2946.26794745596
"38",2011,"San002",11684,142456,0.0820183074071994,8201.83074071994
"39",2011,"San003",16044,147116,0.109056798716659,10905.6798716659
"40",2011,"San004",5020,142911,0.0351267572125309,3512.67572125309
"41",2011,"San005",2731,143957,0.0189709427120598,1897.09427120599
"42",2011,"San006",5362,140738,0.0380991629837002,3809.91629837002
"43",2011,"San007",6707,147442,0.0454890736696464,4548.90736696464
"44",2011,"San008",5800,144830,0.0400469515984257,4004.69515984257
"45",2011,"San009",7814,145045,0.0538729359853838,5387.29359853838
"46",2012,"San001",4442,147305,0.03015512032857,3015.512032857
"47",2012,"San002",11206,142456,0.0786628853821531,7866.28853821531
"48",2012,"San003",14269,147116,0.0969914897088012,9699.14897088012
"49",2012,"San004",4927,142911,0.0344760025470398,3447.60025470398
"50",2012,"San005",2758,143957,0.0191584987183673,1915.84987183673
"51",2012,"San006",5230,140738,0.0371612499822365,3716.12499822365
"52",2012,"San007",6914,147442,0.0468930155586604,4689.30155586604
"53",2012,"San008",5784,144830,0.0399364772491887,3993.64772491887
"54",2012,"San009",7517,145045,0.0518252955979179,5182.52955979179
"55",2013,"San001",333,147305,0.0022606157292692,226.06157292692
"56",2013,"San002",790,142456,0.00554557196608075,554.557196608076
"57",2013,"San003",956,147116,0.00649827347127437,649.827347127437
"58",2013,"San004",372,142911,0.00260301866196444,260.301866196444
"59",2013,"San005",225,143957,0.00156296671922866,156.296671922866
"60",2013,"San006",374,140738,0.00265742017081385,265.742017081385
"61",2013,"San007",570,147442,0.00386592694076315,386.592694076315
"62",2013,"San008",450,144830,0.00310709107229165,310.709107229165
"63",2013,"San009",618,145045,0.00426074666482816,426.074666482816
